,REGION,MONTH,PATIENT COUNT,POSITIVE COUNT,PERCENT POSITIVE
0,Alabama,January,190817.0,5460.0,2.8613802753423436
1,Alabama,February,197516.0,5086.0,2.5749812673403674
2,Alabama,March,231552.0,4296.0,1.8553067993366499
3,Alabama,April,189737.0,3023.0,1.5932580361236868
4,Alabama,May,182084.0,2896.0,1.59047472595066
5,Alabama,June,226648.0,2635.0,1.16259574317885
6,Alabama,July,184067.0,1885.0,1.024083621724698
7,Alabama,August,256072.0,5484.0,2.141585179168359
8,Alabama,September,184882.0,4476.0,2.421003667203946
9,Alabama,October,169917.0,4601.0,2.707792628165516
10,Alabama,November,220559.0,11099.0,5.032213602709479
11,Alabama,December,187854.0,16972.0,9.034675865299647
12,Alaska,January,0.0,0.0,
13,Alaska,February,0.0,0.0,
14,Alaska,March,0.0,0.0,
15,Alaska,April,0.0,0.0,
16,Alaska,May,0.0,0.0,
17,Alaska,June,0.0,0.0,
18,Alaska,July,0.0,0.0,
19,Alaska,August,0.0,0.0,
20,Alaska,September,0.0,0.0,
21,Alaska,October,0.0,0.0,
22,Alaska,November,0.0,0.0,
23,Alaska,December,0.0,0.0,
24,Arizona,January,90321.0,1674.0,1.8533895771747435
25,Arizona,February,90200.0,1566.0,1.7361419068736141
26,Arizona,March,120751.0,1735.0,1.4368411027651944
27,Arizona,April,91916.0,1207.0,1.3131554897950304
28,Arizona,May,88806.0,1214.0,1.3670247505799158
29,Arizona,June,105584.0,989.0,0.9366949537808759
30,Arizona,July,74019.0,465.0,0.6282170793985328
31,Arizona,August,106014.0,893.0,0.8423415775274964
32,Arizona,September,130526.0,880.0,0.6741951795044665
33,Arizona,October,299979.0,5619.0,1.8731311191783426
34,Arizona,November,375726.0,10595.0,2.8198740571586742
35,Arizona,December,323796.0,16330.0,5.043298867187983
36,Arkansas,January,62569.0,1643.0,2.6259010052901597
37,Arkansas,February,61237.0,1294.0,2.1131015562486732
38,Arkansas,March,76457.0,1323.0,1.7303843990739893
39,Arkansas,April,59830.0,748.0,1.2502089252883168
40,Arkansas,May,60473.0,633.0,1.0467481355315595
41,Arkansas,June,70571.0,521.0,0.7382635926938828
42,Arkansas,July,56279.0,322.0,0.5721494696067805
43,Arkansas,August,75855.0,826.0,1.0889196493309603
44,Arkansas,September,62714.0,1055.0,1.6822400102050579
45,Arkansas,October,64314.0,1245.0,1.9358149081070994
46,Arkansas,November,81841.0,2574.0,3.145122860180105
47,Arkansas,December,63917.0,3234.0,5.059686781294491
48,California,January,1136788.0,44136.0,3.8825181124360917
49,California,February,1192553.0,41647.0,3.4922556901035002
50,California,March,1476692.0,48399.0,3.2775284216343015
51,California,April,1118029.0,32329.0,2.891606568344828
52,California,May,1144752.0,32399.0,2.8302199952478793
53,California,June,1320240.0,35377.0,2.67958855965582
54,California,July,1011583.0,20005.0,1.9775935340945825
55,California,August,1322616.0,26382.0,1.9946832640766483
56,California,September,1065204.0,25856.0,2.427328474170206
57,California,October,1087839.0,32594.0,2.996215432614569
58,California,November,1423121.0,68098.0,4.785116655576019
59,California,December,1192896.0,90128.0,7.555394602714738
60,Colorado,January,182303.0,6593.0,3.6165065851905895
61,Colorado,February,202949.0,6511.0,3.208195162331423
62,Colorado,March,257897.0,7707.0,2.988402346673284
63,Colorado,April,205435.0,5238.0,2.5497115876067853
64,Colorado,May,205394.0,4542.0,2.211359630758445
65,Colorado,June,241979.0,3437.0,1.4203711892354296
66,Colorado,July,193914.0,1774.0,0.9148385366708953
67,Colorado,August,255488.0,3083.0,1.2067102955911824
68,Colorado,September,203677.0,3818.0,1.8745366438036697
69,Colorado,October,199763.0,4836.0,2.4208687294443916
70,Colorado,November,257004.0,11563.0,4.499151764174877
71,Colorado,December,210213.0,16518.0,7.857744287936522
72,Connecticut,January,179509.0,4922.0,2.741923803263346
73,Connecticut,February,179811.0,3436.0,1.9108953289843225
74,Connecticut,March,220485.0,3909.0,1.772909721749779
75,Connecticut,April,177791.0,2622.0,1.4747653143297468
76,Connecticut,May,177499.0,2284.0,1.28676781277641
77,Connecticut,June,212055.0,2176.0,1.026148876470727
78,Connecticut,July,166867.0,1291.0,0.773670048601581
79,Connecticut,August,201910.0,1881.0,0.931603189539894
